Player Name,Player ID,Country,Hero
Lorena Gabrielle,26364831,BR,"Verdance, Thorn of the Rose"
Antônio Humberto,12427485,BR,"Arakni, Marionette"
Gabriel Makai,18317156,BR,"Cindra, Dracai of Retribution"
Lucas Matos de Araújo,69518457,BR,"Riptide, Lurker of the Deep"
Paulo Medeiros,56615621,BR,Dash I/O
Raul Nascimento,49431471,BR,"Gravy Bones, Shipwrecked Looter"
Elifas Neto,48287855,BR,"Prism, Awakener of Sol"
Mateus Oliveira Silva,95893671,BR,Jarl Vetreiði
NATHAN ROCHA,18317231,BR,Dash I/O
Paulo Sampaio,68572425,BR,"Rhinar, Reckless Rampage"
Felipe Santos,58337719,BR,Kassai of the Golden Sand
Josué Santos,85141398,BR,"Oscilio, Constella Intelligence"
Lucas Sobral,98596597,BR,"Verdance, Thorn of the Rose"
